iter	Passed	Remaining
0	1	104
1	2	103
2	3	101
3	3	94
4	4	93
5	5	93
6	7	93
7	8	94
8	9	92
9	10	90
10	11	89
11	12	90
12	13	89
13	14	88
14	15	88
15	16	87
16	17	86
17	19	86
18	20	86
19	21	86
20	22	85
21	23	83
22	24	81
23	25	80
24	26	78
25	27	77
26	27	75
27	28	73
28	30	74
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	55
43	42	54
44	43	52
45	43	51
46	44	50
47	45	49
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	49	40
55	50	39
56	51	39
57	52	38
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
